1,google.com,false,null,null,-1,null,false,false
2,facebook.com,false,TLSv1.2,EC,256,SHA1,false,false
3,youtube.com,false,TLSv1.2,RSA,2048,SHA256,false,false
4,baidu.com,false,null,null,-1,null,false,false
5,yahoo.com,false,null,null,-1,null,false,false
6,amazon.com,false,TLSv1.2,RSA,2048,SHA1,false,false
7,wikipedia.org,false,TLSv1.2,EC,256,SHA256,false,false
8,qq.com,false,TLSv1.1,RSA,2048,SHA256,false,false
9,twitter.com,false,TLSv1.2,RSA,2048,SHA256,false,false
10,google.co.in,false,null,null,-1,null,false,false
11,taobao.com,false,TLSv1.2,RSA,2048,SHA256,false,false
12,live.com,false,null,null,-1,null,false,false
13,sina.com.cn,false,null,null,-1,null,false,false
14,linkedin.com,false,TLSv1.2,RSA,2048,SHA256,false,false
15,yahoo.co.jp,false,null,null,-1,null,false,false
16,weibo.com,false,null,null,-1,null,false,false
17,ebay.com,false,TLSv1.2,RSA,2048,SHA256,false,false
18,google.co.jp,false,TLSv1.2,RSA,2048,SHA256,false,false
